1,2020-08-01,248,13
2,2020-08-02,340,18
3,2020-08-03,83,27
4,2020-08-04,43,24
5,2020-08-05,6,23
6,2020-08-06,235,24
7,2020-08-07,389,22
8,2020-08-08,325,14
9,2020-08-09,435,8
10,2020-08-10,194,15
11,2020-08-11,140,22
12,2020-08-12,150,14
13,2020-08-13,376,17
14,2020-08-14,156,29
15,2020-08-15,229,8
16,2020-08-16,444,15
17,2020-08-17,61,29
18,2020-08-18,290,15
19,2020-08-19,114,22
20,2020-08-20,25,13
21,2020-08-21,443,4
22,2020-08-22,348,13
23,2020-08-23,111,13
24,2020-08-24,360,8
25,2020-08-25,270,27
26,2020-08-26,165,3
27,2020-08-27,361,23
28,2020-08-28,157,9
29,2020-08-29,328,28
30,2020-08-30,291,13
31,2020-08-31,280,26
32,2020-09-01,391,18
33,2020-09-02,448,15
34,2020-09-03,191,10
35,2020-09-04,236,3
36,2020-09-05,432,15
37,2020-09-06,474,6
38,2020-09-07,103,21
39,2020-09-08,330,25
40,2020-09-09,60,29
41,2020-09-10,273,17
42,2020-09-11,177,23
43,2020-09-12,73,25
44,2020-09-13,377,4
45,2020-09-14,262,7
46,2020-09-15,168,19
47,2020-09-16,424,1
48,2020-09-17,75,10
49,2020-09-18,427,3
50,2020-09-19,346,7
51,2020-09-20,139,11
52,2020-09-21,445,7
53,2020-09-22,145,10
54,2020-09-23,317,7
55,2020-09-24,267,4
56,2020-09-25,174,23
57,2020-09-26,110,21
58,2020-09-27,499,12
59,2020-09-28,32,14
60,2020-09-29,164,23
61,2020-09-30,262,20
62,2020-10-01,152,15
63,2020-10-02,235,18
64,2020-10-03,62,15
65,2020-10-04,210,5
66,2020-10-05,390,26
67,2020-10-06,34,2
68,2020-10-07,2,17
69,2020-10-08,400,14
70,2020-10-09,410,14
71,2020-10-10,386,19
72,2020-10-11,487,18
73,2020-10-12,310,2
74,2020-10-13,395,25
75,2020-10-14,312,21
76,2020-10-15,88,13
77,2020-10-16,420,22
78,2020-10-17,376,20
79,2020-10-18,162,25
80,2020-10-19,10,9
81,2020-10-20,198,19
82,2020-10-21,27,8
83,2020-10-22,478,24
84,2020-10-23,370,15
85,2020-10-24,379,23
86,2020-10-25,16,22
87,2020-10-26,208,24
88,2020-10-27,147,21
89,2020-10-28,466,22
90,2020-10-29,123,30
91,2020-10-30,178,19
92,2020-10-31,78,7
93,2020-11-01,60,11
94,2020-11-02,175,1
95,2020-11-03,260,12
96,2020-11-04,296,29
97,2020-11-05,229,24
98,2020-11-06,493,15
99,2020-11-07,252,4
100,2020-11-08,380,12
101,2020-11-09,184,7
102,2020-11-10,269,21
103,2020-11-11,301,5
104,2020-11-12,133,1
105,2020-11-13,166,12
106,2020-11-14,488,5
107,2020-11-15,340,5
108,2020-11-16,57,29
109,2020-11-17,231,18
110,2020-11-18,169,24
111,2020-11-19,11,26
112,2020-11-20,375,25
113,2020-11-21,12,24
114,2020-11-22,156,30
115,2020-11-23,25,25
116,2020-11-24,5,6
117,2020-11-25,453,5
118,2020-11-26,433,4
119,2020-11-27,83,3
120,2020-11-28,357,19
121,2020-11-29,478,30
122,2020-11-30,396,22
123,2020-12-01,364,8
124,2020-12-02,226,19
125,2020-12-03,13,24
126,2020-12-04,284,16
127,2020-12-05,488,24
128,2020-12-06,475,20
129,2020-12-07,241,22
130,2020-12-08,308,12
131,2020-12-09,212,23
132,2020-12-10,418,11
133,2020-12-11,117,21
134,2020-12-12,138,28
135,2020-12-13,274,14
136,2020-12-14,10,13
137,2020-12-15,200,23
138,2020-12-16,257,28
139,2020-12-17,401,20
140,2020-12-18,305,22
141,2020-12-19,240,24
142,2020-12-20,341,29
143,2020-12-21,18,22
144,2020-12-22,499,7
145,2020-12-23,444,22
146,2020-12-24,162,18
147,2020-12-25,193,5
148,2020-12-26,236,16
149,2020-12-27,63,8
150,2020-12-28,213,3
151,2020-12-29,258,1
152,2020-12-30,191,7
153,2020-12-31,42,6
154,2021-01-01,149,7
155,2021-01-02,311,24
156,2021-01-03,298,7
157,2021-01-04,77,21
158,2021-01-05,421,3
159,2021-01-06,171,28
160,2021-01-07,451,13
161,2021-01-08,423,21
162,2021-01-09,151,14
163,2021-01-10,284,6
164,2021-01-11,421,21
165,2021-01-12,128,17
166,2021-01-13,43,22
167,2021-01-14,461,29
168,2021-01-15,458,23
169,2021-01-16,36,9
170,2021-01-17,80,30
171,2021-01-18,30,6
172,2021-01-19,416,24
173,2021-01-20,80,30
174,2021-01-21,190,22
175,2021-01-22,254,29
176,2021-01-23,377,18
177,2021-01-24,198,24
178,2021-01-25,314,5
179,2021-01-26,351,9
180,2021-01-27,235,30
181,2021-01-28,449,1
182,2021-01-29,459,10
183,2021-01-30,36,30
184,2021-01-31,470,18
185,2021-02-01,130,19
186,2021-02-02,492,2
187,2021-02-03,497,21
188,2021-02-04,424,21
189,2021-02-05,167,9
190,2021-02-06,36,17
191,2021-02-07,236,12
192,2021-02-08,42,7
193,2021-02-09,317,27
194,2021-02-10,450,17
195,2021-02-11,248,3
196,2021-02-12,218,10
197,2021-02-13,105,20
198,2021-02-14,478,23
199,2021-02-15,222,8
200,2021-02-16,11,11
201,2021-02-17,456,4
202,2021-02-18,30,29
203,2021-02-19,317,3
204,2021-02-20,174,25
205,2021-02-21,409,23
206,2021-02-22,447,19
207,2021-02-23,234,18
208,2021-02-24,492,3
209,2021-02-25,109,6
210,2021-02-26,248,25
211,2021-02-27,4,21
212,2021-02-28,366,16
213,2021-03-01,48,30
214,2021-03-02,104,20
215,2021-03-03,449,16
216,2021-03-04,148,6
217,2021-03-05,294,30
218,2021-03-06,432,20
219,2021-03-07,375,27
220,2021-03-08,263,27
221,2021-03-09,139,23
222,2021-03-10,46,29
223,2021-03-11,386,19
224,2021-03-12,261,15
225,2021-03-13,319,21
226,2021-03-14,178,9
227,2021-03-15,169,22
228,2021-03-16,91,24
229,2021-03-17,288,17
230,2021-03-18,490,24
231,2021-03-19,52,20
232,2021-03-20,60,13
233,2021-03-21,271,26
234,2021-03-22,179,28
235,2021-03-23,38,4
236,2021-03-24,315,2
237,2021-03-25,452,21
238,2021-03-26,22,25
239,2021-03-27,373,3
240,2021-03-28,481,26
241,2021-03-29,286,23
242,2021-03-30,406,23
243,2021-03-31,79,12
244,2021-04-01,25,20
245,2021-04-02,283,25
246,2021-04-03,384,23
247,2021-04-04,286,25
248,2021-04-05,30,20
249,2021-04-06,77,6
250,2021-04-07,381,1
251,2021-04-08,455,21
252,2021-04-09,28,6
253,2021-04-10,312,6
254,2021-04-11,125,13
255,2021-04-12,195,4
256,2021-04-13,206,17
257,2021-04-14,107,13
258,2021-04-15,360,3
259,2021-04-16,211,28
260,2021-04-17,177,16
261,2021-04-18,308,6
262,2021-04-19,174,25
263,2021-04-20,171,30
264,2021-04-21,31,18
265,2021-04-22,500,12
266,2021-04-23,413,2
267,2021-04-24,316,25
268,2021-04-25,417,19
269,2021-04-26,450,1
270,2021-04-27,289,4
271,2021-04-28,22,19
272,2021-04-29,61,14
273,2021-04-30,324,13
274,2021-05-01,38,13
275,2021-05-02,81,9
276,2021-05-03,26,25
277,2021-05-04,283,15
278,2021-05-05,414,8
279,2021-05-06,399,8
280,2021-05-07,187,3
281,2021-05-08,358,26
282,2021-05-09,28,21
283,2021-05-10,346,29
284,2021-05-11,34,23
285,2021-05-12,342,29
286,2021-05-13,224,18
287,2021-05-14,293,14
288,2021-05-15,199,24
289,2021-05-16,344,22
290,2021-05-17,298,21
291,2021-05-18,317,19
292,2021-05-19,303,21
293,2021-05-20,107,7
294,2021-05-21,373,6
295,2021-05-22,12,24
296,2021-05-23,257,2
297,2021-05-24,178,15
298,2021-05-25,287,6
299,2021-05-26,413,18
300,2021-05-27,62,27
301,2021-05-28,144,7
302,2021-05-29,482,12
303,2021-05-30,461,9
304,2021-05-31,181,13
305,2021-06-01,197,15
306,2021-06-02,216,1
307,2021-06-03,419,5
308,2021-06-04,188,8
309,2021-06-05,170,4
310,2021-06-06,401,29
311,2021-06-07,375,19
312,2021-06-08,93,14
313,2021-06-09,98,5
314,2021-06-10,323,1
315,2021-06-11,331,25
316,2021-06-12,173,26
317,2021-06-13,476,12
318,2021-06-14,491,9
319,2021-06-15,25,22
320,2021-06-16,335,18
321,2021-06-17,406,25
322,2021-06-18,388,26
323,2021-06-19,69,17
324,2021-06-20,88,3
325,2021-06-21,369,10
326,2021-06-22,19,16
327,2021-06-23,149,4
328,2021-06-24,391,19
329,2021-06-25,3,30
330,2021-06-26,21,24
331,2021-06-27,85,30
332,2021-06-28,209,2
333,2021-06-29,16,24
334,2021-06-30,354,13
335,2021-07-01,439,29
336,2021-07-02,41,8
337,2021-07-03,2,12
338,2021-07-04,421,21
339,2021-07-05,311,16
340,2021-07-06,128,5
341,2021-07-07,482,3
342,2021-07-08,92,20
343,2021-07-09,375,3
344,2021-07-10,175,21
345,2021-07-11,49,30
346,2021-07-12,45,8
347,2021-07-13,296,17
348,2021-07-14,394,30
349,2021-07-15,331,5
350,2021-07-16,236,10
351,2021-07-17,55,10
352,2021-07-18,167,21
353,2021-07-19,43,15
354,2021-07-20,429,30
355,2021-07-21,480,12
356,2021-07-22,147,25
357,2021-07-23,267,2
358,2021-07-24,339,19
359,2021-07-25,474,21
360,2021-07-26,399,4
361,2021-07-27,242,10
362,2021-07-28,232,29
363,2021-07-29,485,21
364,2021-07-30,284,24
365,2021-07-31,389,16
